wikidata_id,entity_label,is_human,street_names
Q1004532,Zoltán Fábry,True,Fábryho; S. Fábryho; Z. Fábryho; Zoltána Fábryho
Q1029499,Alexander Moyzes,True,A. Moyzesa; Moyzesova
Q1040777,Martin Hattala,True,Hattalova; Martina Hattalu
Q10416721,Štefan Furdek,True,Furdekova; Š. Furdeka; Štefana Furdeka
Q1046826,Odorín,False,Odorínska; Odorínska cesta
Q10545696,Ľudmila Podjavorinská,True,Podjavorinskej; Ľ. Podjavorinskej; Ľudmily Podjavorinskej
Q10545875,Ľudovít Bazovský,True,Bazovského; Dr. Ľudovíta Bazovského; M. A. Bazovského; M. Bazovského
Q1080664,Juraj Tranovský,True,J. Tranovského; Tranovského
Q1092622,Pavol Horov,True,Horovova; P. Horova; Pavla Horova
Q1095718,Kapušany,False,Kapušanská; Kapušianska
Q1102385,Ján Palárik,True,J. Palárika; Palárikov rad; Palárikova
Q1104940,Karol Salva,True,Karola Salvu; Námestie Karola Salvu; Salvova
Q1107656,záhrada,False,V záhradách; Záhradná; Záhradnícka
Q1121255,Pavol Križko,True,Križkova; Pavla Križku
Q11736366,Gustáv Kazimír Zechenter-Laskomerský,True,G. Z. Laskomerského; Laskomerského
Q11787765,Mária Medvecká,True,M. Medveckej; Márie Medveckej
Q11874240,Eduard Urx,True,E. Urxa; Eda Urxa; Urxova
Q11878597,Emil Boleslav Lukáč,True,E. B. Lukáča; Emila Boleslava Lukáča
Q12004160,Ferko Urbánek,True,Ferka Urbánka; Urbánkova
Q12018957,Hana Gregorová,True,Gregorovej; H. Gregorovej
Q12018973,Hana Meličková,True,H. Meličkovej; Hany Meličkovej
Q12021963,Ivan Markovič,True,Dr. I. Markoviča; Markovičova
Q12026992,Jozef Horák,True,Horákova; Jozefa Horáka
Q12027394,Ján Kostra,True,J. Kostru; Jána Kostru; Kostrova; Námestie Jána Kostru
Q12027436,Ján Mudroch,True,J. Mudrocha; Mudrochova
Q12035321,Marek Čulen,True,Marka Čulena; Čulenova; Štefana Čulena
Q12050136,Rudolf Dilong,True,R. Dilonga; Rudolfa Dilonga
Q1224644,Ondrej Plachý,True,O. Plachého; Ondreja Plachého; Plachého
Q1268173,Dušan Jurkovič,True,D. Jurkoviča; Sídlisko Dušana Jurkoviča
Q12706,Maxim Gorkij,True,Gorkého; M. Gorkého; Max. Gorkého; Maxima Gorkého
Q12735,Jan Amos Komenský,True,J. A. Komenského; J. Amosa Komenského; Jana A. Komenského; Jána Amosa Komenského; Komenského; Komenského park
Q12765281,Elena Maróthy-Šoltésová,True,E. M. Šoltésovej; Eleny Maróthy Šoltésovej; Eleny Maróthy-Šoltésovej; Námestie E. M. Šoltésovej; Šoltesovej; Šoltésovej
Q12765357,Emo Bohúň,True,Bohúňova; Ema Bohúňa; Petra Bohúňa
Q12767652,Ivan Bukovčan,True,I. Bukovčana; Ivana Bukovčana
Q12767691,Ivan Vladimír Roy,True,Royova; Vl. Roya; Vladimíra Roya
Q12768363,Juraj Sklenár,True,Juraja Sklenára; Sklenárova
Q12768593,Ján Paľo,True,J. Palárika; Jána Palárika
Q12768607,Ján Poničan,True,J. R. Poničana; Jána Poničana; Poničanova
Q12768675,Ján Zigmundík,True,Jána Zigmundíka; Zigmundíkova
Q12768950,Karol Holuby,True,Holubyho; Holubyho námestie; J. Ľ. Holubyho
Q12770108,Ladislav Exnár,True,L. Exnára; Ladislava Exnára
Q12770129,Ladislav Sára,True,L. Sáru; Ladislava Sáru
Q12771192,Matej Hrebenda,True,Hrebendova; Mateja Hrebendu
Q12771549,Michal Pavlovič,True,Pavlovičova; Pavlovičovo námestie; Rad mjr. Pavloviča
Q12771630,Mikuláš Dohnány,True,Dohnányho; Mikuláša Dohnányho
