name,total_m,segments_count,street_count
Hlavná,589713.9008056064,2428,402
Školská,169360.14893701157,842,365
Družstevná,165372.80724629795,745,274
SNP,143168.82299308837,783,137
Nová,123435.78374711242,490,250
Cintorínska,114390.7197992608,552,261
Železničná,110023.68625750669,529,158
Športová,103921.01142313155,484,232
Hviezdoslavova,100917.96177440949,554,174
Záhradná,100912.57123829635,437,231
Mlynská,98067.24309071597,507,197
Okružná,94221.96191787132,516,127
Partizánska,91166.47561833283,503,134
Štúrova,88011.88686101895,561,139
Poľná,79536.05342185563,399,191
Slnečná,73008.5687407439,337,187
Dlhá,71908.76509033887,314,82
1. mája,71505.81375764108,410,105
Mierová,71326.36773311975,349,112
Priemyselná,70876.01299545997,260,66
Cesta slobody,67635.72112878488,250,3
Komenského,67476.3149864277,399,101
Lesná,64516.40323623334,304,147
Lipová,61588.98741158041,321,169
Staničná,61078.337734877896,352,105
Kostolná,60375.80965075468,265,123
M. R. Štefánika,59819.21437802973,400,72
Sládkovičova,59470.39638905071,349,114
Bratislavská,59059.15857229548,528,40
Štefánikova,56152.0443733248,362,54
Potočná,54108.519958639234,279,108
Osloboditeľov,53815.77899687157,281,46
Agátová,52015.122243906655,240,138
Lúčna,51252.95435485572,272,152
Dolná,50775.15970737918,222,70
Budovateľská,48809.02163300991,206,68
Kukučínova,48007.1601661262,276,100
Ružová,46641.51628818123,214,124
Kpt. Nálepku,44361.688171417314,234,61
Nitrianska,42732.51561422487,252,36
Krátka,41283.99805977922,352,270
Bernolákova,40795.42150155537,236,78
Horná,38777.2602693231,195,78
Marchfeld Schnellstraße,38346.92609463257,2,1
Sadová,36817.57354894709,163,83
Továrenská,35873.896558096436,227,38
Tatranská,35799.413887358976,154,49
Brezová,35460.54468504018,171,96
Tehelná,35158.35717249396,178,64
Jilemnického,34734.55909047737,241,51
Hurbanova,34030.10369453221,204,69
Kvetná,33681.096929415005,172,106
Veterná,33607.008218982955,170,87
Jesenského,33377.73102061999,241,66
Letná,31902.218156393657,168,79
Obchodná,31689.09315049272,209,67
Kúpeľná,31430.473688652863,174,42
Obrancov mieru,30240.23528733041,193,45
Kollárova,30197.14167662917,185,62
Košická,30125.974969307747,238,24
Jánošíkova,29674.200914172954,120,46
Záhradnícka,29663.210473400824,148,60
Orechová,29568.805554450362,130,73
