street_name,wikidata_id,entity_label,is_human,confidence
1. mája,Q47499,Sviatok práce,False,0.9
9. mája,Q270706,Deň víťazstva,False,1.0
A. Bernoláka,Q588302,Anton Bernolák,True,1.0
Abovská,Q1785845,Košický región,False,1.0
Adama Trajana,Q8181989,Adam Trajan,True,1.0
A. Dubčeka,Q150543,Alexander Dubček,True,1.0
A. Dvořáka,Q7298,Antonín Dvořák,True,1.0
Agátová,Q472943,agát,False,1.0
Agnelliho,Q12768094,Jozef Agnelli,True,1.0
A. H. Gavloviča,Q5934650,Hugolín Gavlovič,True,1.0
A. H. Krčméryho,Q4181190,Štefan Krčméry,True,1.0
A. Hlinku,Q467797,Andrej Hlinka,True,0.9
A. H. Škultétyho,Q3629542,August Horislav Škultéty,True,1.0
A. Jedlika,Q252142,Štefan Anián Jedlík,True,1.0
Á. Jedlika,Q252142,Štefan Anián Jedlík,True,1.0
A. Jiráska,Q161368,Alois Jirásek,True,1.0
Akademika Hronca,Q6314717,Jur Hronec,True,0.0
A. Kmeťa,Q765336,Andrej Kmeť,True,1.0
A. Kubinu,Q765368,Andrej Kubina,True,0.9
A. Lackovej-Zory,Q4767196,Anna Lacková-Zora,True,0.9
Albína Grznára,Q12762068,Albín Grznár,True,1.0
Alej Jána Pavla II.,Q989,Ján Pavol II.,True,1.0
Alexandra Dubčeka,Q150543,Alexander Dubček,True,0.7
Alexandra Matušku,Q10770922,Alexander Matuška,True,0.7
Alexeja Duchoňa,Q28949306,Alexej Duchoň,True,1.0
Alexyho,Q1682808,Janko Alexy,True,1.0
Alfréda Wetzlera,Q570957,Alfréd Wetzler,True,1.0
Alžbety Gwerkovej Göllnerovej,Q12762214,Alžbeta Göllnerová-Gwerková,True,0.9
A. Mamateja,Q12762055,Albert Mamatey,True,1.0
A. Medňanského,Q652975,Ladislav Medňanský,True,0.9
A. Moyzesa,Q1029499,Alexander Moyzes,True,1.0
A. Moyzesa,Q392368,Štefan Moyzes,True,1.0
Amurská,Q6862,Amur,False,1.0
Andreja Bagara,Q3506294,Andrej Bagar,True,1.0
Andreja Hlinku,Q467797,Andrej Hlinka,True,1.0
Andreja Kmeťa,Q765336,Andrej Kmeť,True,1.0
Andreja Kubinu,Q765368,Andrej Kubina,True,1.0
Andreja Kvasa,Q1122581,Andrej Kvas,True,0.7
Andreja Mráza,Q12762310,Andrej Mráz,True,1.0
Andreja Sládkoviča,Q503068,Andrej Sládkovič,True,1.0
Andreja Žarnova,Q1988365,Andrej Žarnov,True,1.0
Andrusovova,Q369844,Dimitrij Andrusov,True,1.0
Anenská,Q666578,Anna,False,0.0
Angyalova,Q770047,Gejza Angyal,True,1.0
Ant. Bernoláka,Q588302,Anton Bernolák,True,1.0
Antona Bernoláka,Q588302,Anton Bernolák,True,1.0
A. Radlinského,Q766882,Andrej Ľudovít Radlinský,True,0.9
Armádneho generála Svobodu,Q310000,Ludvík Svoboda,True,0.9
Arménska,Q399,Arménsko,False,0.9
arm. gen. L. Svobodu,Q310000,Ludvík Svoboda,True,0.9
Arm. gen. L. Svobodu,Q310000,Ludvík Svoboda,True,0.9
Arpáda Felcána,Q13375709,Arpád Vojtech Felcán,True,1.0
A. Škarvana,Q3564961,Albert Škarvan,True,1.0
A. Sládkoviča,Q503068,Andrej Sládkovič,True,1.0
A. S. Puškina,Q7200,Alexandr Sergejevič Puškin,True,1.0
A. Stodolu,Q666875,Aurel Stodola,True,0.9
Aténska,Q1524,Atény,False,0.9
Aurela Stodolu,Q666875,Aurel Stodola,True,0.9
A. V. Suvorova,Q154232,Alexandr Vasilievič Suvorov,True,1.0
A. Žarnova,Q1988365,Andrej Žarnov,True,1.0
Azovská,Q35000,Azovské more,False,1.0
Bachova,Q1339,Johann Sebastian Bach,True,1.0
Bagarova,Q3506294,Andrej Bagar,True,1.0
Bahýľova,Q680151,Ján Bahýľ,True,1.0
Bajkalská,Q5513,Bajkalské jazero,False,0.9
Bajzova,Q265676,Jozef Ignác Bajza,True,0.9
Bakossova,Q16516012,Ján Bakoss,True,1.0
Bakulínyho,Q662143,Janko Jesenský,True,0.0
Bánik,Q33057836,Ivan Baník,True,1.0
Baníkov,Q33057836,Ivan Baník,True,1.0
Baníkova,Q33057836,Ivan Baník,True,1.0
Barčianska,Q377416,Barca,False,0.9
Bardejovská,Q27007,Bardejov,False,1.0
Bartókova,Q83326,Béla Bartók,True,1.0
Baštová,Q81839,Bašta,False,0.9
Bazová,Q131448,baza,False,0.9
Bazovského,Q10545875,Ľudovít Bazovský,True,0.7
B. Bartóka,Q83326,Béla Bartók,True,1.0
B. Bjőrnsona,Q46405,Bjørnstjerne Bjørnson,True,1.0
Beblavého,Q12773479,Pavel Beblavý,True,0.9
Bebravská,Q791716,Bebrava,False,0.9
Bedľová,Q243381,bedľa vysoká,False,0.9
Bedřicha Smetanu,Q48173,Bedřich Smetana,True,1.0
Beethovenova,Q255,Ludwig van Beethoven,True,1.0
Belanského,Q1357554,Svetozár Hurban-Vajanský,True,0.0
Belehradská,Q3711,Belehrad,False,1.0
Bellova,Q964103,Ján Levoslav Bella,True,0.9
Bellušova,Q6739796,Emil Belluš,True,1.0
Belopotockého,Q997918,Gašpar Fejérpataky-Belopotocký,True,0.9
Bélu Bartóka,Q83326,Béla Bartók,True,0.9
Bencúrova,Q632046,Július Bencúr,True,0.7
Beniakova,Q9368136,Valentín Beniak,True,1.0
Benkova,Q1903455,Martin Benka,True,0.9
Beňovského,Q93419,Móric Beňovský,True,0.9
Bercsényi utca,Q282149,Mikuláš Berčéni,True,1.0
Bernolákova,Q588302,Anton Bernolák,True,1.0
Bernolákovo námestie,Q588302,Anton Bernolák,True,1.0
Bernolákov rad,Q588302,Anton Bernolák,True,1.0
Berzeviczyho,Q715058,Gregor Berzeviczy,True,0.9
Beskydská,Q3491363,Chránená krajinná oblasť Beskydy,False,0.9
Betliarska,Q2630404,Kaštieľ v Betliari,False,1.0
Bezručova,Q539798,Petr Bezruč,True,1.0
Biela,Q23444,biela,False,0.9
Björnsonova,Q46405,Bjørnstjerne Bjørnson,True,0.7
Blahova,Q769613,Marián Blaha,True,0.9
Bláhova,Q769613,Marián Blaha,True,0.9
B. Nemcovej,Q157970,Božena Němcová,True,0.9
B. Němcovej,Q157970,Božena Němcová,True,0.9
Bobuľová,Q13184,bobuľa,False,0.9
Bodliaková,Q926838,Bodliak kučeravý,False,1.0
Bodvianska,Q524569,Bodva,False,0.9
Bohúňova,Q12765357,Emo Bohúň,True,1.0
Borisa Nemcova,Q363846,Boris Jefimovič Nemcov,True,1.0
Borodáčova,Q4767243,Janko Borodáč,True,1.0
Borovicová,Q12024,borovica,False,0.9
Bottova,Q1384769,Martin Kukučín,True,0.0
Bottova,Q974206,Ján Botto,True,1.0
Boženy Nemcovej,Q157970,Božena Němcová,True,0.9
Boženy Němcovej,Q157970,Božena Němcová,True,0.9
Boženy Slančíkovej-Timravy,Q440577,Božena Slančíková-Timrava,True,0.9
Braneckého,Q15939223,Jozef Branecký,False,0.9
Břeclavská,Q581478,Břeclav,False,1.0
Breznianska,Q465312,Brezno,False,0.9
Brnenská,Q14960,Brno,False,0.9
Bronzová,Q34095,bronz,False,1.0
Broskyňová,Q13189,broskyňa obyčajná,False,0.9
Brusnicová,Q5079636,brusnica,False,0.9
B. Slančíkovej,Q440577,Božena Slančíková-Timrava,True,0.9
B. S. Timravy,Q440577,Božena Slančíková-Timrava,True,0.9
Buková,Q25403,Buk,False,1.0
Bukureštská,Q19660,Bukurešť,False,1.0
Bulharská,Q219,Bulharsko,False,0.9
Buzalkova,Q7786535,Michal Buzalka,True,0.9
Buznova,Q470621,svätý Metod,True,0.0
Bystrická,Q144983,Banská Bystrica,False,0.9
Čajakova,Q3807054,Janko Čajak,True,1.0
Čajkovského,Q7315,Piotr Iľjič Čajkovskij,True,0.7
Čapkova,Q155855,Karel Čapek,True,0.0
Čechovova,Q5685,Anton Pavlovič Čechov,True,1.0
Čelakovského,Q545818,František Ladislav Čelakovský,True,0.9
Centrum,Q697863,Karol Kuzmány,True,0.0
Centrum I.,Q220550,Ján Kollár,True,0.0
Čergovská,Q11838545,Čergov,False,1.0
Červeného kríža,Q7178,Medzinárodné hnutie Červeného kríža a Červeného polmesiaca,False,1.0
Červeňova,Q860542,Tomáš Červen,True,1.0
Cesta J. Alexyho,Q1682808,Janko Alexy,True,1.0
Cesta na Senec,Q754790,Senec,False,1.0
Cesta Vl. Clementisa,Q975331,Vladimír Clementis,True,1.0
Chaloupky,Q262637,Samo Chalupka,True,0.7
Chalupkova,Q262637,Samo Chalupka,True,0.9
Chalúpkova,Q262637,Samo Chalupka,True,0.9
Chalúpkova,Q347148,Rastislav,True,0.0
Charkovská,Q42308,Charkov,False,1.0
Chlumeckého,Q4764835,Václav Chlumecký,True,0.9
Chodecká,Q315222,Ľudovít Štúr,True,0.0
Chorvátska,Q224,Chorvátsko,False,0.9
Chrómová,Q725,chróm,False,0.7
Čiernovodská,Q12781295,Čierna Voda,False,0.9
Cikkerova,Q692171,Ján Cikker,True,1.0
Cínová,Q1096,cín,False,1.0
Cirbusovej,Q95179530,Jolana Cirbusová,True,0.9
Čistonek,Q974206,Ján Botto,True,0.0
Čkalovova,Q498098,Valerij Pavlovič Čkalov,True,1.0
Clementisova,Q975331,Vladimír Clementis,True,1.0
Clementisová,Q975331,Vladimír Clementis,True,1.0
Clementisove sady,Q975331,Vladimír Clementis,True,1.0
C. Majerníka,Q7940636,Cyprián Majerník,True,1.0
Čmelíkova,Q1561024,Janko Čmelík,True,1.0
Čordákova,Q6474379,Ľudovít Čordák,True,1.0
Čsl. armády,Q2119775,Česko-slovenská ľudová armáda,False,0.9
Cukrová,Q11002,cukor,False,1.0
Čulenova,Q12035321,Marek Čulen,True,1.0
Cypriana Majerníka,Q7940636,Cyprián Majerník,True,1.0
Cyprusová,Q229,Cyprus,False,1.0
Cyrila a Metoda,Q470621,svätý Metod,True,1.0
Cyrila Talapku,Q239925,Cyril a Metod,False,1.0
Cyrilometodejská,Q239925,Cyril a Metod,False,1.0
Cyrilometodská,Q239925,Cyril a Metod,False,1.0
Cyrilometodské námestie,Q239925,Cyril a Metod,False,1.0
Cyrilova,Q239925,Cyril a Metod,False,1.0
Czambelova,Q2218123,Samuel Czambel,True,1.0
Daniela Krmana,Q543073,Daniel Krman,True,1.0
Daniela Licharda,Q3701605,Daniel Gabriel Lichard,True,1.0
Danový  Úrad,Q315222,Ľudovít Štúr,True,0.0
Daxnerova,Q255678,Štefan Marko Daxner,True,1.0
Detvianska,Q11857,Detva,False,0.9
Deviata,Q19108,9,False,0.7
Dimitrovova,Q155074,Georgi Dimitrov,True,1.0
Dionýza Štúra,Q905900,Dionýz Štúr,True,0.7
D. Jurkoviča,Q1268173,Dušan Jurkovič,True,1.0
D. Krmana,Q543073,Daniel Krman,True,1.0
D. Makovického,Q2055549,Dušan Makovický,True,0.9
Do Baničného,Q515230,Karol Sidor,True,0.0
Dobrovského,Q283121,Josef Dobrovský,True,0.9
Dobšinského,Q897973,Pavol Dobšinský,True,0.9
Dohnányho,Q12771630,Mikuláš Dohnány,True,1.0
Dolný Urban,Q951434,Milo Urban,True,1.0
Domašská,Q1192056,Veľká Domaša,False,0.9
Dominika Tatarku,Q617674,Dominik Tatarka,True,1.0
Donovalova,Q12777541,Tichomír Milkin,True,1.0
Dopravná,Q319962,Milan Rastislav Štefánik,True,0.0
Dostojevského,Q991,Fiodor Michajlovič Dostojevskij,True,0.7
Dóžova,Q366978,Juraj Dóža,True,0.9
Dózsova,Q366978,Juraj Dóža,True,0.9
Dr. A. Škarvana,Q3564961,Albert Škarvan,True,1.0
Dr. C. Daxnera,Q21490752,Cyril Daxner,True,1.0
Dr. Clementisa,Q975331,Vladimír Clementis,True,1.0
Dr. I. Horvátha,Q12021933,Ivan Horváth,True,1.0
Dr. I. Markoviča,Q12021963,Ivan Markovič,True,1.0
Dr. J. Gašperíka,Q12768471,Ján Gašperík,True,1.0
Dr. Karola Kmeťku,Q6373046,Karol Kmeťko,True,0.9
Dr. Ľudovíta Bazovského,Q10545875,Ľudovít Bazovský,True,0.9
Dr. Martina Sokola,Q823259,Martin Sokol,True,1.0
Dr. Milana Hodžu,Q1392478,Michal Miloslav Hodža,True,0.9
Druhá,Q200,dva,False,0.0
Družstevná,Q12016596,Družstvo,False,0.7
Družstevná,Q508663,Pavol Országh Hviezdoslav,True,0.0
Dr. V. Clementisa,Q975331,Vladimír Clementis,True,1.0
Dr. Vlada Clementisa,Q975331,Vladimír Clementis,True,0.9
Dr. Vladimíra Clementisa,Q975331,Vladimír Clementis,True,0.9
D. Skuteckého,Q4422775,Dominik Skutecký,True,0.9
D. Štúra,Q905900,Dionýz Štúr,True,1.0
D. Tatarku,Q617674,Dominik Tatarka,True,0.9
Dubčekova,Q150543,Alexander Dubček,True,1.0
Duchnovičova,Q520739,Alexander Duchnovič,True,1.0
Dukelská,Q60270,Karpatsko-duklianska operácia,False,1.0
Dukelská,Q911014,Dukliansky priesmyk,False,0.9
Dunajská,Q1653,Dunaj,False,1.0
Ďurka Langsfelda,Q18595457,Juraj Langsfeld,True,1.0
Dušana Makovického,Q2055549,Dušan Makovický,True,1.0
E. Belluša,Q6739796,Emil Belluš,True,1.0
E. B. Lukáča,Q11878597,Emil Boleslav Lukáč,True,1.0
Eda Urxa,Q11874240,Eduard Urx,True,1.0
Edisonova,Q8743,Thomas Alva Edison,True,1.0
E. F. Scherera,Q12766006,František Ernest Scherer,True,1.0
Egrešová,Q41503,ríbezľa egrešová,False,1.0
Eleny Maróthy Šoltésovej,Q12765281,Elena Maróthy-Šoltésová,True,0.9
Eleny Maróthy-Šoltésovej,Q12765281,Elena Maróthy-Šoltésová,True,0.9
Ema Bohúňa,Q12765357,Emo Bohúň,True,1.0
Emila Boleslava Lukáča,Q11878597,Emil Boleslav Lukáč,True,1.0
E. M. Šoltésovej,Q12765281,Elena Maróthy-Šoltésová,True,0.9
Erenburgova,Q348497,Iľja Grigorievič Erenburg,True,1.0
Ester Šimerovej-Martinčekovej,Q8420324,Ester Šimerová-Martinčeková,True,1.0
Eugena Suchoňa,Q46100,Eugen Suchoň,True,1.0
E. Urxa,Q11874240,Eduard Urx,True,1.0
Fábryho,Q1004532,Zoltán Fábry,True,1.0
Fándlyho,Q898705,Juraj Fándly,True,1.0
Fedora Ruppeldta,Q8420214,Fedor Fridrich Ruppeldt,True,1.0
Felcánova,Q13375709,Arpád Vojtech Felcán,True,1.0
Ferenca Liszta,Q41309,Franz Liszt,True,0.7
Ferka Urbánka,Q12004160,Ferko Urbánek,True,0.9
F. Hečku,Q443963,František Hečko,True,0.9
F. Kafendu,Q3505734,Frico Kafenda,True,0.9
F. Kráľa,Q2354020,Fraňo Kráľ,True,1.0
F. K. Veselého,Q12017221,František Krištof Veselý,True,0.9
F. Lehára,Q191917,Lehár Ferenc,True,1.0
Flöglova,Q13375679,Arnold Flögl,True,1.0
F. M. Dostojevského,Q991,Fiodor Michajlovič Dostojevskij,True,1.0
F. Palackého,Q159642,František Palacký,True,0.9
Fraňa Kráľa,Q2354020,Fraňo Kráľ,True,0.9
Francisciho,Q6148919,Ján Francisci,True,1.0
Francisciho,Q980533,Ján Francisci-Rimavský,True,1.0
Františka Hečku,Q443963,František Hečko,True,0.9
Františka Lipku,Q4180318,František Lipka,True,0.9
Františkánske námestie,Q165005,Františkáni,False,0.7
Fraštacká,Q754773,Hlohovec,False,0.7
F. Štefunku,Q4176375,Fraňo Štefunko,True,0.9
F. Švantnera,Q3503937,František Švantner,True,1.0
Fučíkova,Q142059,Julius Fučík,True,1.0
Fullova,Q345078,Ľudovít Fulla,True,0.9
Fullova ul.,Q345078,Ľudovít Fulla,True,0.9
F. Urbánka,Q12004160,Ferko Urbánek,True,0.0
Furdekova,Q10416721,Štefan Furdek,True,1.0
Gabčíkova,Q432927,Jozef Gabčík,True,1.0
Gabčíkovská cesta,Q432927,Jozef Gabčík,True,1.0
Gagarina,Q7327,Jurij Alexejevič Gagarin,True,1.0
Gagarinova,Q7327,Jurij Alexejevič Gagarin,True,1.0
Gagarinovo námestie,Q7327,Jurij Alexejevič Gagarin,True,1.0
Galandova,Q3489752,Mikuláš Galanda,True,0.9
Gaštanová,Q26899,pagaštan konský,False,1.0
Gavlovičova,Q5934650,Hugolín Gavlovič,True,1.0
Gbelská cesta,Q601581,Gbelce,False,0.7
Gelnická,Q842028,Gelnica,False,0.9
Generála Ludvika Svobodu,Q310000,Ludvík Svoboda,True,1.0
Generála Ludvíka Svobodu,Q310000,Ludvík Svoboda,True,1.0
Generála Svobodu,Q310000,Ludvík Svoboda,True,0.9
Gen. Goliana,Q702648,Ján Golian,True,1.0
Gen. Goliána,Q702648,Ján Golian,True,1.0
