name,total_m,segments_count
Hlavná,578591.1427953672,2080
Školská,168663.545872782,807
Družstevná,163978.96624083747,709
SNP,140098.23054098428,693
Nová,120532.96241411602,460
Cintorínska,111416.47095982538,523
Železničná,109249.45102925817,491
Športová,101133.74724432456,451
Hviezdoslavova,100775.89019828549,533
Záhradná,100338.38260794806,423
Mlynská,98001.99398306417,481
Okružná,93465.32484608196,492
Partizánska,90753.48648558963,481
Štúrova,87517.57815673514,523
Poľná,78998.47747958274,382
Dlhá,71887.09411245894,294
Slnečná,71784.87833284226,320
1. mája,71335.06597892473,384
Mierová,70843.691934572,331
Priemyselná,68617.07618917158,229
Komenského,67743.03667206582,377
Cesta slobody,67635.69000130035,244
Lesná,64714.96392373685,304
Lipová,61067.30445389982,309
M. R. Štefánika,60163.32146080416,382
Staničná,59214.28230150577,327
Sládkovičova,59165.986792651456,338
Bratislavská,58932.66280661893,461
Kostolná,58676.54843126994,255
Štefánikova,55955.247714443336,338
Osloboditeľov,53707.736274631956,260
Potočná,53472.713642335395,269
Agátová,51541.91723805974,233
Lúčna,50885.20209871928,265
Dolná,49327.66372836646,194
Budovateľská,48815.46468625291,200
Kukučínova,47849.617539923354,268
Ružová,46023.6481641415,212
Kpt. Nálepku,44557.19713006663,225
Nitrianska,42648.356431806205,213
Krátka,41105.23858673612,351
Bernolákova,40771.7100523368,233
Marchfeld Schnellstraße,38346.92609463257,2
Horná,37993.77893242614,179
Sadová,36817.19822486591,155
Tatranská,35816.88108166496,150
Továrenská,35564.858848315154,220
Brezová,35253.52396140632,168
Tehelná,35152.510619339984,177
Jilemnického,34729.4681080281,236
Hurbanova,33790.49867177995,195
Jesenského,33394.342233273645,238
Kvetná,33264.67229986128,170
Veterná,32963.66629316892,160
Obchodná,31684.424599287948,202
Letná,31515.029948333482,161
Kúpeľná,31194.99162661223,168
Obrancov mieru,30327.28931091869,186
Kollárova,30002.97413858914,181
Košická,29785.64017507271,226
Záhradnícka,29698.28078096547,147
Jánošíkova,29670.40877764287,120
Orechová,28901.64335130981,126
Moyzesova,28797.653170386853,194
Janka Kráľa,28284.552144399673,144
Vinohradnícka,27629.35450250518,86
Vajanského,26750.117576489138,177
Mládežnícka,26496.954036696243,130
Krížna,25316.41725707234,144
Nábrežná,25197.043360289725,137
Novozámocká,24860.018656763314,120
Slobody,24663.766640502352,91
Prešovská,24612.171000714858,105
Hlboká,24451.568316862118,141
Tichá,24340.4642771621,118
Severná,24326.183963555675,128
Gaštanová,24032.981063029187,145
Československej armády,23722.059949366303,141
Pohraničiarska signálka,23620.75957294417,22
Topoľová,22767.638705967405,117
Nádražná,22627.10750006691,118
Dunajská,22547.909287718456,87
Hronská,22018.275758617605,103
Čerešňová,22015.23895802975,122
Hollého,21894.960922413244,129
Jarná,21742.71724679638,108
Robotnícka,21395.551277836264,103
Poštová,21365.257812456897,108
Jarková,21102.005657068556,120
9. mája,20798.6842370675,93
Trenčianska,20611.51260948344,129
P. O. Hviezdoslava,20228.376336233843,140
Levočská,20137.637937800428,148
Ľ. Štúra,19999.965580004595,153
Svätoplukova,19640.267597666494,145
Vodárenská,19589.775446451647,109
Úzka,19512.228726185713,122
Južná,19496.88820097543,96
Tunel Karpaty,19065.211734138084,2
Pribinova,19001.493178259538,148
Mieru,18940.279824165955,75
Farská,18783.889702643464,131
Fučíkova,18736.03761175287,68
Zimná,18525.460559683077,96
Slovenská,18473.216606671784,113
Východná,18469.14748630665,98
Rybárska,18216.2608677393,96
29. augusta,17947.00285390109,103
Duklianska,17875.09033121414,132
Javorová,17744.667335238068,119
Námestie SNP,17646.532153361906,211
Piešťanská,17199.83879886728,101
Námestie slobody,16994.679612332973,193
Banícka,16776.98767123606,84
